year,event_date,collective,title,activity,status,attendees,trees_planted,rubbish_kg,volunteer_hours,app_checkins,walkins
2026,2026-06-07,Mornington Peninsula,Canadian Bay Beach Clean Up,clean_up,completed,9,0,25.00,18.00,0,0
2026,2026-06-13,Mornington Peninsula,Main Ridge Tree Planting w/ Mornington Peninsula Koala,tree_planting,published,0,0,0,0,0,0
2026,2026-06-14,Melbourne City,Mordialloc Beach Clean Up w/ Deakin Enviro Club,clean_up,published,0,0,0,0,0,0
2026,2026-06-20,Geelong,You Yangs Nature Hike,nature_hike,published,0,0,0,0,0,0
2026,2026-06-27,Melbourne City,Seville Tree Planting w/ Tree Project,tree_planting,cancelled,0,0,0,0,0,0
2026,2026-06-27,Melbourne City,Seville Tree Planting w/ Tree Project,tree_planting,published,0,0,0,0,0,0
2026,2026-07-05,Melbourne City,Merri Mornings,ecosystem_restoration,published,0,0,0,0,0,0
2026,2026-08-02,Mornington Peninsula,Flinders Tree Planting w/ Mornington Peninsula Koala ,tree_planting,published,0,0,0,0,0,0
2026,2026-08-02,Melbourne City,Merri Mornings,ecosystem_restoration,published,0,0,0,0,0,0
2026,2026-08-08,Geelong,Little River Reserve Tree Planting w/ Koala Clancy,tree_planting,published,0,0,0,0,0,0
2026,2026-08-08,Melbourne City,Little River Reserve Tree Planting w/ Koala Clancy,tree_planting,cancelled,0,0,0,0,0,0
2026,2026-09-06,Melbourne City,Merri Mornings,ecosystem_restoration,published,0,0,0,0,0,0
